PID,BlockName,ReactionTime,ReactionTimeLog,Feature,ElemNum,SpatialPattern,IsCorrect,TrialNum,TargetRegion,CenterOrPeriph,Target2CenterDis
6,Shape_12_Random,877.0,2.9429995933660407,Shape,12,Random,yes,5,4,Center,0.2545787016131932
6,Shape_12_Random,1182.0,3.0726174765452368,Shape,12,Random,yes,8,5,Periphery,0.4614225252119441
6,Shape_12_Random,1983.0,3.2973227142053028,Shape,12,Random,yes,9,8,Periphery,0.5766464765098581
6,Shape_12_Random,1049.0,3.020775488193558,Shape,12,Random,yes,15,6,Periphery,0.4296309844802632
6,Shape_12_Random,824.0,2.9159272116971158,Shape,12,Random,yes,14,4,Center,0.12987800694130694
6,Shape_48_Gridded,424.0,2.6273658565927325,Shape,48,Gridded,yes,6,3,Center,0.233726055
6,Shape_48_Gridded,573.0,2.75815462196739,Shape,48,Gridded,yes,2,1,Center,0.105095682
6,Shape_48_Gridded,5157.0,3.712397131406715,Shape,48,Gridded,yes,16,8,Periphery,0.640672861
6,Shape_48_Gridded,500.0,2.6989700043360187,Shape,48,Gridded,yes,5,3,Center,0.105095682
6,Shape_48_Gridded,1542.0,3.188084373714938,Shape,48,Gridded,yes,13,7,Periphery,0.315287045
6,Shape_48_Gridded,786.0,2.895422546039408,Shape,48,Gridded,yes,15,8,Periphery,0.381286321
6,Shape_48_Gridded,1974.0,3.295347148333618,Shape,48,Gridded,yes,14,7,Periphery,0.376554646
6,Shape_48_Gridded,2446.0,3.3884564527002667,Shape,48,Gridded,yes,9,5,Periphery,0.376554646
6,Shape_48_Gridded,1753.0,3.243781916093795,Shape,48,Gridded,yes,11,6,Periphery,0.528879396
6,Shape_48_Gridded,1913.0,3.281714970027296,Shape,48,Gridded,yes,7,4,Center,0.236269241
6,Shape_48_Gridded,636.0,2.803457115648414,Shape,48,Gridded,yes,4,2,Center,0.236269241
6,Shape_48_Gridded,1114.0,3.04688519083771,Shape,48,Gridded,yes,3,2,Center,0.236269241
6,Shape_48_Gridded,909.0,2.9585638832219674,Shape,48,Gridded,yes,8,4,Center,0.236269241
6,Shape_48_Gridded,4849.0,3.6856521841155243,Shape,48,Gridded,yes,10,5,Periphery,0.431939178
6,Shape_48_Gridded,787.0,2.8959747323590648,Shape,48,Gridded,yes,1,1,Center,0.233726055
6,Shape_48_Gridded,3632.0,3.5601458398490475,Shape,48,Gridded,yes,12,6,Periphery,0.434697625
6,Shape_768_Gridded,2537.0,3.404320467221731,Shape,768,Gridded,yes,8,4,Center,0.232850399
6,Shape_768_Gridded,1628.0,3.2116544005531824,Shape,768,Gridded,yes,6,3,Center,0.261377723
6,Shape_768_Gridded,663.0,2.821513528404773,Shape,768,Gridded,yes,1,1,Center,0.029041969
6,Shape_768_Gridded,840.0,2.9242792860618816,Shape,768,Gridded,yes,7,4,Center,0.176288673
6,Shape_768_Gridded,null,null,Shape,768,Gridded,no,9,5,Periphery,0.382720928
6,Shape_768_Gridded,846.0,2.9273703630390235,Shape,768,Gridded,yes,2,1,Center,0.120102879
6,Shape_768_Gridded,652.0,2.81424759573192,Shape,768,Gridded,yes,4,2,Center,0.104092424
6,Shape_768_Gridded,1332.0,3.1245042248342823,Shape,768,Gridded,yes,3,2,Center,0.267027626
6,Shape_768_Gridded,721.0,2.857935264719429,Shape,768,Gridded,yes,5,3,Center,0.029041969
6,Shape_768_Gridded,5703.0,3.7561033715851058,Shape,768,Gridded,yes,14,7,Periphery,0.588438326
6,Shape_768_Gridded,3404.0,3.53198955141255,Shape,768,Gridded,yes,13,7,Periphery,0.697240861
6,Shape_768_Gridded,2864.0,3.456973013635818,Shape,768,Gridded,yes,15,8,Periphery,0.710152324
6,Shape_768_Gridded,7002.0,3.8452221064290137,Shape,768,Gridded,yes,16,8,Periphery,0.723549104
6,Shape_768_Gridded,2943.0,3.468790262099611,Shape,768,Gridded,yes,11,6,Periphery,0.375827528
6,Shape_768_Gridded,4701.0,3.6721902511882525,Shape,768,Gridded,yes,12,6,Periphery,0.528866018
