PID,BlockName,ReactionTime,ReactionTimeLog,Feature,ElemNum,SpatialPattern,IsCorrect,TrialNum,TargetRegion,CenterOrPeriph,Target2CenterDis
3,Shape_768_Random,1507,3.178113252,Shape,768,Random,yes,11,2,Center,0.10649867290671611
3,Shape_768_Random,7632.6,3.882672503,Shape,768,Random,yes,16,1,Center,0.22909649847361502
3,Shape_768_Random,23285.2,4.367079973,Shape,768,Random,yes,13,4,Center,0.17011572982477396
3,Shape_768_Random,33382,4.523512353,Shape,768,Random,yes,4,6,Periphery,0.6543106744122988
3,Shape_768_Random,7686.5,3.885728632,Shape,768,Random,yes,9,3,Center,0.23621216167194894
3,Shape_768_Random,5805.3,3.763824668,Shape,768,Random,yes,1,5,Periphery,0.296350462
3,Shape_768_Random,9687.099999999999,3.986193783,Shape,768,Random,yes,8,7,Periphery,0.3173477514596256
3,Shape_768_Random,4028.2,3.605111025,Shape,768,Random,yes,7,5,Periphery,0.4881446817266401
3,Shape_768_Random,3164.6,3.500318824,Shape,768,Random,yes,12,1,Center,0.18731733892405597
3,Shape_768_Random,13286,4.123394248,Shape,768,Random,yes,10,2,Center,0.2379336915753339
3,Shape_768_Random,8187.3,3.913140704,Shape,768,Random,yes,5,8,Periphery,0.42925378552025734
3,Shape_768_Random,30644.4,4.486351123,Shape,768,Random,yes,14,3,Center,0.065436422
3,Shape_768_Random,5684.9,3.75472283,Shape,768,Random,yes,15,3,Center,0.23337500990321172
3,Shape_768_Random,17515.899999999998,4.243432457,Shape,768,Random,yes,2,6,Periphery,0.4226545497255871
3,Shape_768_Random,11613.699999999999,4.064970603,Shape,768,Random,yes,3,8,Periphery,0.6191162291230844
3,Shape_768_Gridded,1030.1,3.012879387,Shape,768,Gridded,yes,5,3,Center,0.029041969
3,Shape_768_Gridded,16129.9,4.207631675,Shape,768,Gridded,yes,6,3,Center,0.261377723
3,Shape_768_Gridded,16251.5,4.210893452,Shape,768,Gridded,yes,7,4,Center,0.176288673
3,Shape_768_Gridded,20698.899999999998,4.315947266,Shape,768,Gridded,yes,9,5,Periphery,0.382720928
3,Shape_768_Gridded,5129.2,3.710049634,Shape,768,Gridded,yes,8,4,Center,0.232850399
3,Shape_768_Gridded,55486.7,4.744188896,Shape,768,Gridded,yes,13,7,Periphery,0.697240861
3,Shape_768_Gridded,2793.6,3.446164222,Shape,768,Gridded,yes,15,8,Periphery,0.710152324
3,Shape_768_Gridded,1931,3.285782274,Shape,768,Gridded,yes,4,2,Center,0.104092424
3,Shape_768_Gridded,4996.5,3.698665892,Shape,768,Gridded,yes,16,8,Periphery,0.723549104
3,Shape_768_Gridded,1303.3,3.115044395,Shape,768,Gridded,yes,2,1,Center,0.120102879
