PID,BlockName,ReactionTime,ReactionTimeLog,Feature,ElemNum,SpatialPattern,IsCorrect,TrialNum,TargetRegion,CenterOrPeriph,Target2CenterDis
5,Hue_12_Gridded,833.4,2.9208534961212593,Hue,12,Gridded,yes,15,8,Periphery,0.413616631
5,Hue_12_Gridded,357.4,2.5531545481696254,Hue,12,Gridded,yes,10,5,Periphery,0.311429528
5,Hue_12_Gridded,298.4,2.474798818800631,Hue,12,Gridded,yes,5,3,Center,0.311429528
5,Hue_12_Gridded,278.2,2.4443571256560275,Hue,12,Gridded,yes,12,6,Periphery,0.311429528
5,Hue_12_Gridded,219.70000000000002,2.3418300569205104,Hue,12,Gridded,yes,6,3,Center,0.499057433
5,Hue_12_Gridded,451.1,2.6542728270977105,Hue,12,Gridded,yes,16,8,Periphery,0.499057433
5,Hue_12_Gridded,272.3,2.4350476413399647,Hue,12,Gridded,yes,8,4,Center,0.311429528
5,Hue_12_Gridded,340.9,2.532627001228891,Hue,12,Gridded,yes,4,2,Center,0.311429528
5,Hue_12_Gridded,410.3,2.6131015169669127,Hue,12,Gridded,yes,7,4,Center,0.311429528
5,Hue_12_Gridded,347.5,2.540954808926133,Hue,12,Gridded,yes,1,1,Center,0.499057433
5,Hue_12_Gridded,425.09999999999997,2.628491104967123,Hue,12,Gridded,yes,11,6,Periphery,0.311429528
5,Hue_12_Gridded,402.8,2.6050894618815805,Hue,12,Gridded,yes,9,5,Periphery,0.311429528
5,Hue_12_Gridded,392.0,2.593286067020457,Hue,12,Gridded,yes,14,7,Periphery,0.499057433
5,Hue_12_Gridded,469.0,2.6711728427150834,Hue,12,Gridded,yes,2,1,Center,0.311429528
5,Hue_12_Gridded,549.0,2.739572344450092,Hue,12,Gridded,yes,13,7,Periphery,0.311429528
5,Hue_12_Gridded,611.1999999999999,2.7861833455676335,Hue,12,Gridded,yes,3,2,Center,0.13787221
5,Shape_768_Gridded,5270.8,3.721876537265178,Shape,768,Gridded,yes,16,8,Periphery,0.723549104
5,Shape_768_Gridded,8262.1,3.917090447138433,Shape,768,Gridded,yes,11,6,Periphery,0.375827528
5,Shape_768_Gridded,8465.5,3.927652614048984,Shape,768,Gridded,yes,8,4,Center,0.232850399
5,Shape_768_Gridded,4018.7,3.604085586881876,Shape,768,Gridded,yes,3,2,Center,0.267027626
5,Shape_768_Gridded,13652.0,4.1351962796066015,Shape,768,Gridded,yes,15,8,Periphery,0.710152324
5,Shape_768_Gridded,540.0,2.7323937598229686,Shape,768,Gridded,yes,1,1,Center,0.029041969
5,Shape_768_Gridded,565.0,2.7520484478194387,Shape,768,Gridded,yes,2,1,Center,0.120102879
5,Shape_768_Gridded,3780.8,3.5775837042882936,Shape,768,Gridded,yes,10,5,Periphery,0.581193923
5,Shape_768_Gridded,5515.2,3.741561266063872,Shape,768,Gridded,yes,9,5,Periphery,0.382720928
5,Shape_768_Gridded,6801.0,3.83257277484618,Shape,768,Gridded,yes,14,7,Periphery,0.588438326
5,Shape_768_Gridded,13655.6,4.135310786933785,Shape,768,Gridded,yes,12,6,Periphery,0.528866018
5,Shape_768_Gridded,11440.300000000001,4.0584374131489875,Shape,768,Gridded,yes,7,4,Center,0.176288673
5,Shape_768_Gridded,5706.7,3.756385042380897,Shape,768,Gridded,yes,6,3,Center,0.261377723
5,Shape_768_Gridded,685.8,2.8361974807789254,Shape,768,Gridded,yes,4,2,Center,0.104092424
5,Shape_768_Gridded,3370.2000000000003,3.527655674259786,Shape,768,Gridded,yes,13,7,Periphery,0.697240861
5,Shape_768_Gridded,675.0,2.829303772831025,Shape,768,Gridded,yes,5,3,Center,0.029041969
5,Hue_192_Gridded,441.90000000000003,2.6453240015622934,Hue,192,Gridded,yes,2,1,Center,0.202626762
