PID,BlockName,ReactionTime,ReactionTimeLog,Feature,ElemNum,SpatialPattern,IsCorrect,TrialNum,TargetRegion,CenterOrPeriph,Target2CenterDis
4,Hue_48_Gridded,279.9,2.4470028984661623,Hue,48,Gridded,yes,12,6,Periphery,0.528879396
4,Hue_48_Gridded,123.8,2.0927206446840994,Hue,48,Gridded,yes,4,2,Center,0.236269241
4,Hue_48_Gridded,156.1,2.1934029030624176,Hue,48,Gridded,yes,14,7,Periphery,0.315287045
4,Hue_48_Gridded,294.0,2.4683473304121573,Hue,48,Gridded,yes,5,3,Center,0.233726055
4,Hue_48_Gridded,506.90000000000003,2.7049222912234017,Hue,48,Gridded,yes,8,4,Center,0.236269241
4,Hue_48_Gridded,261.2,2.4169731726030363,Hue,48,Gridded,yes,16,8,Periphery,0.381286321
4,Hue_48_Gridded,271.3,2.433449793761596,Hue,48,Gridded,yes,9,5,Periphery,0.525478409
4,Hue_48_Gridded,257.90000000000003,2.4114513421379375,Hue,48,Gridded,yes,1,1,Center,0.233726055
4,Hue_48_Gridded,274.9,2.439174739843468,Hue,48,Gridded,yes,15,8,Periphery,0.640672861
4,Hue_48_Gridded,362.3,2.559068334034537,Hue,48,Gridded,yes,11,6,Periphery,0.381286321
4,Hue_48_Gridded,422.59999999999997,2.6259294927162946,Hue,48,Gridded,yes,3,2,Center,0.236269241
4,Hue_48_Gridded,477.9,2.6793370305207937,Hue,48,Gridded,yes,6,3,Center,0.233726055
4,Hue_48_Gridded,371.7,2.570192561095726,Hue,48,Gridded,yes,10,5,Periphery,0.315287045
4,Hue_48_Gridded,340.7,2.5323721335678773,Hue,48,Gridded,yes,13,7,Periphery,0.315287045
4,Hue_48_Gridded,273.0,2.436162647040756,Hue,48,Gridded,yes,2,1,Center,0.233726055
4,Hue_48_Gridded,283.0,2.45178643552429,Hue,48,Gridded,yes,7,4,Center,0.236269241
4,Hue_192_Gridded,445.0,2.6483600109809315,Hue,192,Gridded,yes,12,6,Periphery,0.693483645
4,Hue_192_Gridded,272.3,2.4350476413399647,Hue,192,Gridded,yes,11,6,Periphery,0.585253896
4,Hue_192_Gridded,216.70000000000002,2.335858911319818,Hue,192,Gridded,yes,7,4,Center,0.231161215
4,Hue_192_Gridded,333.1,2.522574632691177,Hue,192,Gridded,yes,6,3,Center,0.202626762
4,Hue_192_Gridded,281.9,2.4500950758716025,Hue,192,Gridded,yes,5,3,Center,0.168330055
4,Hue_192_Gridded,633.6,2.801815168581437,Hue,192,Gridded,yes,16,8,Periphery,0.693483645
4,Hue_192_Gridded,263.79999999999995,2.4212747912103465,Hue,192,Gridded,yes,2,1,Center,0.202626762
4,Hue_192_Gridded,567.2,2.7537362221750104,Hue,192,Gridded,yes,10,5,Periphery,0.280550092
4,Hue_192_Gridded,396.8,2.598571663482141,Hue,192,Gridded,yes,1,1,Center,0.168330055
4,Hue_192_Gridded,459.0,2.661812685537261,Hue,192,Gridded,yes,8,4,Center,0.12529399
4,Hue_192_Gridded,264.0,2.4216039268698313,Hue,192,Gridded,yes,4,2,Center,0.231161215
4,Hue_192_Gridded,289.1,2.461048091670658,Hue,192,Gridded,yes,9,5,Periphery,0.452563883
4,Hue_192_Gridded,249.20000000000002,2.3965480379871322,Hue,192,Gridded,yes,15,8,Periphery,0.35867929
4,Hue_192_Gridded,278.2,2.4443571256560275,Hue,192,Gridded,yes,3,2,Center,0.12529399
4,Hue_192_Gridded,312.7,2.4951278812429334,Hue,192,Gridded,yes,14,7,Periphery,0.452563883
4,Hue_192_Gridded,null,null,Hue,192,Gridded,no,13,7,Periphery,0.438970028
4,Length_768_Gridded,978.4000000000001,2.9905164440282292,Length,768,Gridded,yes,7,4,Center,0.144315729
4,Length_768_Gridded,1209.7,3.0826776806481124,Length,768,Gridded,yes,6,3,Center,0.233775017
4,Length_768_Gridded,2178.4,3.338137628331908,Length,768,Gridded,yes,12,6,Periphery,0.594956479
4,Length_768_Gridded,1903.4,3.2795300649754404,Length,768,Gridded,yes,14,7,Periphery,0.407252836
4,Length_768_Gridded,566.4,2.7531232446817127,Length,768,Gridded,yes,2,1,Center,0.212141749
4,Length_768_Gridded,867.8000000000001,2.9384196457931933,Length,768,Gridded,yes,16,8,Periphery,0.381252592
4,Length_768_Gridded,3969.1,3.5986920409331375,Length,768,Gridded,yes,1,1,Center,0.233775017
4,Length_768_Gridded,1182.6000000000001,3.072837874663087,Length,768,Gridded,yes,11,6,Periphery,0.594956479
4,Length_768_Gridded,3442.5,3.536873948928961,Length,768,Gridded,yes,3,2,Center,0.232850399
4,Length_768_Gridded,3248.7,3.5117096084332866,Length,768,Gridded,yes,15,8,Periphery,0.687219014
4,Length_768_Gridded,1239.4,3.09321149181366,Length,768,Gridded,yes,9,5,Periphery,0.438747836
4,Length_768_Gridded,1738.8999999999999,3.2402746074788893,Length,768,Gridded,yes,13,7,Periphery,0.315985639
4,Length_768_Gridded,1595.8000000000002,3.2029784607370653,Length,768,Gridded,yes,5,3,Center,0.261377723
4,Length_768_Gridded,761.9,2.8818979735730115,Length,768,Gridded,yes,4,2,Center,0.176288673
4,Length_768_Gridded,666.8,2.8239955911559678,Length,768,Gridded,yes,8,4,Center,0.104092424
4,Length_768_Gridded,915.1,2.9614685553507862,Length,768,Gridded,yes,10,5,Periphery,0.438747836
4,Hue_768_Gridded,296.70000000000005,2.472317546316842,Hue,768,Gridded,yes,8,4,Center,0.064606771
4,Hue_768_Gridded,638.9,2.80543288813214,Hue,768,Gridded,yes,4,2,Center,0.267027626
4,Hue_768_Gridded,299.9,2.476976465759527,Hue,768,Gridded,yes,9,5,Periphery,0.791220559
4,Hue_768_Gridded,369.0,2.56702636615906,Hue,768,Gridded,yes,16,8,Periphery,0.576528246
4,Hue_768_Gridded,249.79999999999998,2.3975924340381165,Hue,768,Gridded,yes,10,5,Periphery,0.325429089
