	Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE	Reaction Time
"ySigma[1,1,2,1]"	0.114354807	0.1126345	0.109547528	5012.7	0.95	0.0820048	0.152144	NA	NA	NA	NA	NA	NA	NA	306.8325423
"ySigma[2,1,2,1]"	0.082052755	0.080609	0.077447449	4702.8	0.95	0.0563485	0.10864	NA	NA	NA	NA	NA	NA	NA	211.8268358
"ySigma[1,2,2,1]"	0.143188503	0.1406795	0.135084383	4169.3	0.95	0.100168	0.192238	NA	NA	NA	NA	NA	NA	NA	397.817042
"ySigma[2,2,2,1]"	0.093236573	0.0913743	0.087963495	4260.7	0.95	0.0644025	0.125477	NA	NA	NA	NA	NA	NA	NA	243.9236896
"ySigma[1,1,3,1]"	0.216073292	0.2132735	0.203966313	5102.1	0.95	0.158626	0.281188	NA	NA	NA	NA	NA	NA	NA	656.6341757
"ySigma[2,1,3,1]"	0.149503677	0.147877	0.146250626	4653.4	0.95	0.109561	0.193365	NA	NA	NA	NA	NA	NA	NA	418.563834
"ySigma[1,2,3,1]"	0.190754856	0.188077	0.185225347	4482.4	0.95	0.136333	0.24952	NA	NA	NA	NA	NA	NA	NA	561.7643441
"ySigma[2,2,3,1]"	0.176820483	0.1740105	0.170251162	4704.1	0.95	0.126544	0.231261	NA	NA	NA	NA	NA	NA	NA	511.863325
"ySigma[1,1,1,2]"	0.143733127	0.141554	0.133885329	4306.8	0.95	0.0981301	0.192048	NA	NA	NA	NA	NA	NA	NA	399.5943927
"ySigma[2,1,1,2]"	0.145416755	0.1434005	0.142860944	4727.3	0.95	0.104106	0.192237	NA	NA	NA	NA	NA	NA	NA	405.1029419
"ySigma[1,2,1,2]"	0.178077036	0.1749265	0.169001737	4385	0.95	0.121746	0.237567	NA	NA	NA	NA	NA	NA	NA	516.2978315
"ySigma[2,2,1,2]"	0.192548187	0.1897685	0.182279508	3936.3	0.95	0.140203	0.252449	NA	NA	NA	NA	NA	NA	NA	568.3035931
