Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
b1b2b3b4[1,2,1,3]	-0.066481200555351	-0.06659105	-0.0664596310564367	27534.5	0.95	-0.125321	-0.0115993	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,2,1,3]	-0.236517995946	-0.2368675	-0.233347136349512	26803.7	0.95	-0.302909	-0.169257	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,1,2,3]	-0.088130162229424	-0.08835805	-0.0911930161914726	29852.5	0.95	-0.150017	-0.023665	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,1,2,3]	0.018585936919896	0.01839385	0.0181568564931726	29408.6	0.95	-0.081781	0.119069	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,2,2,3]	0.0322729234768085	0.0324653	0.0293333901332851	29559.8	0.95	-0.0486377	0.1134	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,2,2,3]	0.12675144840806	0.126567	0.124525760291583	30331	0.95	0.0481868	0.209571	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,1,3,3]	-0.0338834425632334	-0.0347616	-0.0370928320432591	25331.7	0.95	-0.16194	0.0971909	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,1,3,3]	0.0580231586958204	0.057677	0.0615498096776876	27600.7	0.95	-0.0620608	0.180163	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,2,3,3]	0.126934291365572	0.1268045	0.130032314136186	29441.6	0.95	0.0260781	0.225702	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,2,3,3]	0.0905287601140872	0.0905516	0.091916445960888	29419.9	0.95	0.00222864	0.177881	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,1,1,4]	-0.0012044108045166	-0.00132567	-0.00372031194284214	28380.7	0.95	-0.0808194	0.0788772	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,1,1,4]	-0.14836225730134	-0.148557	-0.1540317928959	28070.7	0.95	-0.226957	-0.0683144	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,2,1,4]	-0.180001440798862	-0.179812	-0.182797529909564	25292.7	0.95	-0.273438	-0.0830234	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,2,1,4]	-0.286999497366	-0.2872445	-0.290370232293664	26345.4	0.95	-0.368919	-0.203694	NA	NA	NA	NA	NA	NA	NA
